,usage,dataset,scale,name,HR,LR
0,train,General100,2,im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_023.png
1,train,General100,4,im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_023.png
2,train,General100,8,im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_023.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_023.png
3,train,General100,2,im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_037.png
4,train,General100,4,im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_037.png
5,train,General100,8,im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_037.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_037.png
6,train,General100,2,im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_036.png
7,train,General100,4,im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_036.png
8,train,General100,8,im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_036.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_036.png
9,train,General100,2,im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_022.png
10,train,General100,4,im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_022.png
11,train,General100,8,im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_022.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_022.png
